lon,lat,time
-2.869371,47.551691,2024-06-26T14:04:15+02:00
-2.86959,47.551946,2024-06-26T14:04:40+02:00
-2.86982,47.55215,2024-06-26T14:05:04+02:00
-2.870067,47.552348,2024-06-26T14:05:28+02:00
-2.870251,47.552549,2024-06-26T14:05:47+02:00
-2.870333,47.552802,2024-06-26T14:06:15+02:00
-2.870189,47.553034,2024-06-26T14:06:39+02:00
-2.870023,47.55328,2024-06-26T14:07:03+02:00
-2.869921,47.553503,2024-06-26T14:08:00+02:00
-2.869656,47.553683,2024-06-26T14:08:24+02:00
-2.869506,47.553897,2024-06-26T14:08:48+02:00
-2.869503,47.554143,2024-06-26T14:09:12+02:00
-2.869628,47.554394,2024-06-26T14:10:23+02:00
-2.869786,47.554634,2024-06-26T14:11:08+02:00
-2.869722,47.554856,2024-06-26T14:11:28+02:00
-2.869872,47.555069,2024-06-26T14:24:57+02:00
-2.869877,47.555323,2024-06-26T14:25:21+02:00
-2.869806,47.555543,2024-06-26T14:25:45+02:00
-2.869702,47.555758,2024-06-26T14:26:06+02:00
-2.869423,47.555938,2024-06-26T14:26:34+02:00
-2.869152,47.556073,2024-06-26T14:26:59+02:00
-2.868943,47.5563,2024-06-26T14:28:20+02:00
-2.868708,47.556535,2024-06-26T14:28:55+02:00
-2.868562,47.556743,2024-06-26T14:29:24+02:00
-2.868364,47.556949,2024-06-26T14:30:36+02:00
-2.86809,47.557125,2024-06-26T14:31:06+02:00
-2.867812,47.557286,2024-06-26T14:31:30+02:00
-2.867625,47.557511,2024-06-26T14:31:54+02:00
-2.867428,47.557702,2024-06-26T14:32:19+02:00
-2.867255,47.557911,2024-06-26T14:32:44+02:00
-2.867054,47.558128,2024-06-26T14:33:13+02:00
-2.867127,47.55835,2024-06-26T14:33:47+02:00
-2.867379,47.558499,2024-06-26T14:34:11+02:00
-2.867558,47.558725,2024-06-26T14:34:39+02:00
-2.867749,47.558931,2024-06-26T14:35:03+02:00
-2.868086,47.558858,2024-06-26T14:35:50+02:00
-2.868383,47.55874,2024-06-26T14:36:11+02:00
-2.868749,47.558615,2024-06-26T14:37:16+02:00
-2.869108,47.558587,2024-06-26T14:37:44+02:00
-2.869188,47.558359,2024-06-26T14:43:30+02:00
-2.869013,47.558118,2024-06-26T14:44:05+02:00
-2.868993,47.557876,2024-06-26T14:44:49+02:00
-2.868892,47.557632,2024-06-26T14:45:19+02:00
-2.868911,47.557386,2024-06-26T14:46:36+02:00
-2.869022,47.557172,2024-06-26T14:47:39+02:00
-2.869237,47.556949,2024-06-26T14:48:24+02:00
-2.869548,47.55683,2024-06-26T14:48:48+02:00
-2.869939,47.556783,2024-06-26T14:49:43+02:00
-2.870296,47.55669,2024-06-26T14:50:08+02:00
-2.8706,47.55658,2024-06-26T14:50:48+02:00
-2.870945,47.55645,2024-06-26T14:51:23+02:00
-2.871232,47.556319,2024-06-26T14:51:57+02:00
-2.871521,47.556163,2024-06-26T14:52:26+02:00
-2.871728,47.555973,2024-06-26T14:52:50+02:00
-2.872011,47.555821,2024-06-26T14:53:30+02:00
-2.872352,47.555761,2024-06-26T14:53:49+02:00
-2.872671,47.555669,2024-06-26T14:54:14+02:00
-2.872869,47.555479,2024-06-26T14:54:39+02:00
-2.873059,47.55527,2024-06-26T14:55:13+02:00
-2.873351,47.555147,2024-06-26T14:55:33+02:00
-2.873715,47.555068,2024-06-26T14:55:58+02:00
-2.874071,47.554944,2024-06-26T14:56:26+02:00
-2.874367,47.554808,2024-06-26T14:56:50+02:00
-2.874671,47.55464,2024-06-26T14:57:15+02:00
-2.875002,47.554523,2024-06-26T14:57:39+02:00
-2.875296,47.554332,2024-06-26T14:58:03+02:00
-2.875687,47.554238,2024-06-26T14:58:27+02:00
-2.876004,47.554312,2024-06-26T15:02:41+02:00
-2.876132,47.554069,2024-06-26T15:03:11+02:00
-2.876481,47.554045,2024-06-26T15:04:02+02:00
-2.876817,47.553995,2024-06-26T15:04:21+02:00
-2.876939,47.553779,2024-06-26T15:04:51+02:00
-2.876964,47.553511,2024-06-26T15:05:11+02:00
-2.876647,47.553385,2024-06-26T15:05:35+02:00
-2.876295,47.553395,2024-06-26T15:06:03+02:00
-2.875967,47.553344,2024-06-26T15:06:25+02:00
-2.875608,47.553269,2024-06-26T15:06:43+02:00
-2.875137,47.553245,2024-06-26T15:07:13+02:00
-2.874785,47.55315,2024-06-26T15:07:32+02:00
-2.874455,47.553077,2024-06-26T15:07:51+02:00
-2.874122,47.553087,2024-06-26T15:08:14+02:00
-2.873823,47.552971,2024-06-26T15:08:33+02:00
-2.873426,47.552894,2024-06-26T15:08:56+02:00
-2.873074,47.55285,2024-06-26T15:09:15+02:00
-2.872735,47.552811,2024-06-26T15:09:34+02:00
-2.872412,47.552717,2024-06-26T15:09:53+02:00
-2.872046,47.552673,2024-06-26T15:10:17+02:00
-2.871658,47.552655,2024-06-26T15:11:02+02:00
-2.871271,47.552662,2024-06-26T15:11:25+02:00
-2.870942,47.552617,2024-06-26T15:11:44+02:00
-2.870535,47.552612,2024-06-26T15:12:31+02:00
-2.870239,47.552472,2024-06-26T15:12:50+02:00
-2.869998,47.552261,2024-06-26T15:13:13+02:00
-2.869766,47.552067,2024-06-26T15:13:58+02:00
-2.869605,47.55186,2024-06-26T15:14:17+02:00
-2.869372,47.551687,2024-06-26T15:14:36+02:00
