Bus (ID);Bus (numéro);Etat;Ligne (ID);Ligne (nom court);Code du sens;Destination;Coordonnées;Avance / Retard
1508445016;1508445016;Hors-service;;;;;48.11, -1.642109;
961224028;961224028;Hors-service;;;;;48.109915, -1.642667;
778817032;778817032;Hors-service;;;;;48.110794, -1.643229;
197984484;197984484;Hors-service;;;;;48.064801, -1.702989;
-1874487300;-1874487300;Hors-service;;;;;48.110077, -1.642668;
1690852012;1690852012;Hors-service;;;;;48.110476, -1.642838;
562798476;562798476;Hors-service;;;;;48.063837, -1.701397;
-349236504;-349236504;Hors-service;;;;;48.064713, -1.703156;
-166829508;-166829508;Hors-service;;;;;48.064715, -1.70243;
745205472;745205472;Hors-service;;;;;48.064314, -1.702986;
1110019464;1110019464;Hors-service;;;;;48.064392, -1.703073;
15577488;15577488;Hors-service;;;;;48.063915, -1.701471;
1474833456;1474833456;En ligne;0032;32;0;Alma Sud;48.148481, -1.69715;0
1657240452;1657240452;En ligne;0013;13;1;Chantepie;48.155615, -1.592493;122
927612468;927612468;Hors-service;;;;;48.064555, -1.70259;
-1908098860;-1908098860;En ligne;0010;10;0;Porte de Cleunay;48.118615, -1.688584;38
1839647448;1839647448;Hors-service;;;;;48.109673, -1.641717;
1292426460;1292426460;Hors-service;;;;;48.063753, -1.701228;
-1178470876;-1178470876;En ligne;0034;34;1;ZA Saint-Sulpice;48.123548, -1.60835;170
-2090505856;-2090505856;En ligne;0004;C4;0;Grand Quartier;48.132395, -1.636268;0
2022054444;2022054444;En ligne;0014;14;1;Cesson Monniais;48.11433, -1.604814;361
-996063880;-996063880;En ligne;0010;10;1;Beaulieu Chimie;48.099693, -1.711195;1
-1725691864;-1725691864;En ligne;0013;13;1;Chantepie;48.085529, -1.675289;17
-448842892;-448842892;En ligne;0032;32;1;Saint-Grégoire;48.091854, -1.674234;340
-266435896;-266435896;En ligne;0013;13;0;Porte de Ker Lann;48.070403, -1.709876;74
-1543284868;-1543284868;En ligne;0013;13;0;Porte de Ker Lann;48.073872, -1.712835;551
280785092;280785092;En ligne;0010;10;0;Porte de Cleunay;48.117114, -1.634025;0
-84028900;-84028900;Hors-service;;;;;48.109756, -1.642115;
-1360877872;-1360877872;En ligne;0014;14;1;Cesson Monniais;48.107274, -1.715465;165
1010413076;1010413076;En ligne;0050;50;0;Cesson-Viasilva;48.150657, -1.57862;-25
98378096;98378096;En ligne;0006;C6;1;Cesson-Sévigné;48.122091, -1.6002;271
-813656884;-813656884;En ligne;0032;32;0;Alma Sud;48.105528, -1.650585;143
-1460484260;-1460484260;En ligne;0064;64;0;Cesson-Viasilva;48.140639, -1.528113;87
1375227068;1375227068;En ligne;0034;34;1;ZA Saint-Sulpice;48.085707, -1.608602;47
463192088;463192088;En ligne;0010;10;0;Porte de Cleunay;48.122052, -1.640045;-15
-1278077264;-1278077264;Hors-service;;;;;48.109917, -1.642829;
1557634064;1557634064;Hors-service;;;;;48.111033, -1.643788;
645599084;645599084;Hors-service;;;;;48.109753, -1.641953;
-913263272;-913263272;Hors-service;;;;;48.109915, -1.642667;
1740041060;1740041060;En ligne;0012;12;1;Villejean-U;48.087352, -1.642676;0
828006080;828006080;En ligne;0012;12;0;La Poterie;48.095686, -1.66148;4
-730856276;-730856276;En ligne;0034;34;0;Cesson Monniais;48.132354, -1.636157;0
2104855052;2104855052;Hors-service;;;;;48.110959, -1.644751;
