Identifiant;Date de début de version;Date de fin de version;Est la version active;Code;Nom;Commune (code INSEE);Commune (nom);Coordonnées;Accessible aux PMR;Mobilier;Visibilité;Stopid gtfs/gtfs-rt
1027;2022-10-24;;Oui;1027;Hôtel Dieu;35238;Rennes;48.117163, -1.677351;true;Abri simple;Grand public;4-1027
1033;2022-10-24;2024-09-01;Oui;1033;Assomption;35238;Rennes;48.12128, -1.655029;true;Abri double;Grand public;4-1033
1038;2016-08-29;2024-09-01;Oui;1038;Bouzat;35238;Rennes;48.128209, -1.637118;true;Abri simple;Grand public;4-1038
1042;2023-09-04;2024-09-01;Oui;1042;Cimetière Nord;35238;Rennes;48.123939, -1.681724;true;Abri simple;Grand public;4-1042
1044;2022-10-24;2024-09-01;Oui;1044;Pierre Legrand;35238;Rennes;48.122179, -1.685924;true;Abri simple;Grand public;4-1044
1047;2022-10-24;2024-09-01;Oui;1047;La Touche;35238;Rennes;48.11612, -1.691288;true;Abri simple;Grand public;4-1047
1051;2022-10-24;2024-09-01;Oui;1051;Place de Bretagne;35238;Rennes;48.109888, -1.68328;true;Abri auvent;Grand public;4-1051
1057;2018-04-16;2024-07-07;Oui;1057;Laënnec;35238;Rennes;48.104724, -1.667309;true;Abri simple;Grand public;4-1057
1065;2019-09-02;;Oui;1065;La Poterie;35238;Rennes;48.087621, -1.64393;true;Abri simple;Grand public;4-1065
1068;2019-08-18;;Oui;1068;Gohier;35238;Rennes;48.092067, -1.636471;true;Abri simple;Grand public;4-1068
1070;2019-08-18;;Oui;1070;CARSAT;35238;Rennes;48.094492, -1.637889;true;Abri simple;Grand public;4-1070
1076;2015-08-31;;Oui;1076;Monnet;35238;Rennes;48.087986, -1.638421;true;Abri simple;Grand public;4-1076
1077;2019-08-18;;Oui;1077;La Poterie;35238;Rennes;48.087413, -1.643436;true;Abri simple;Grand public;4-1077
1088;2022-10-24;2024-09-01;Oui;1088;Liberté;35238;Rennes;48.107381, -1.674952;false;Abri simple;Grand public;4-1088
1095;2022-10-24;2024-09-01;Oui;1095;La Touche;35238;Rennes;48.116505, -1.690744;true;Abri auvent;Grand public;4-1095
1100;2023-09-04;2024-09-01;Oui;1100;Cimetière Nord;35238;Rennes;48.124557, -1.681716;true;Abri auvent;Grand public;4-1100
1102;2015-08-31;2024-09-01;Oui;1102;Donelière;35238;Rennes;48.131161, -1.684497;true;Abri auvent;Grand public;4-1102
1108;2022-10-24;;Oui;1108;Parc Gayeulles;35238;Rennes;48.128344, -1.652232;true;Abri simple;Grand public;4-1108
1122;2023-02-27;;Oui;1122;Gare Sud Féval;35238;Rennes;48.102932, -1.676748;true;Abri simple;Grand public;4-1122
1124;2023-08-01;;Oui;1124;Jacques Cartier;35238;Rennes;48.097396, -1.675489;true;Abri simple;Grand public;4-1124
1147;2023-08-01;;Oui;1147;Saint-Vincent;35238;Rennes;48.112666, -1.664346;true;Poteau;Grand public;4-1147
1148;2023-08-01;;Oui;1148;Oberthur;35238;Rennes;48.113405, -1.661265;true;Abri simple;Grand public;4-1148
1149;2023-08-01;;Oui;1149;Durafour;35238;Rennes;48.114248, -1.658666;false;Poteau;Grand public;4-1149
1176;2022-10-24;;Oui;1176;Beaulieu INSA;35238;Rennes;48.119028, -1.63521;true;Abri double;Grand public;4-1176
1182;2022-10-24;;Oui;1182;George Sand;35238;Rennes;48.116298, -1.664773;true;Abri auvent;Grand public;4-1182
1194;2022-10-24;;Oui;1194;Anatole France;35238;Rennes;48.118173, -1.687217;true;Abri simple;Grand public;4-1194
1196;2022-10-24;;Oui;1196;Dinan;35238;Rennes;48.117181, -1.682302;true;Abri simple;Grand public;4-1196
1197;2022-10-24;;Oui;1197;Sévigné;35238;Rennes;48.116347, -1.673257;true;Abri simple;Grand public;4-1197
1209;2023-09-04;;Oui;1209;Pavie;35238;Rennes;48.104998, -1.644534;true;Abri simple;Grand public;4-1209
1217;2022-10-24;;Oui;1217;Chèques Postaux;35238;Rennes;48.108292, -1.694376;true;Abri double;Grand public;4-1217
1222;2022-10-24;;Oui;1222;Roazhon Park;35238;Rennes;48.108107, -1.714065;true;Abri simple;Grand public;4-1222
1237;2002-01-01;;Oui;1237;Papeteries;35238;Rennes;48.107689, -1.702121;true;Abri auvent;Grand public;4-1237
1246;2002-01-01;;Oui;1246;Cimetière de l'Est;35238;Rennes;48.104353, -1.64928;true;Abri simple;Grand public;4-1246
1253;2022-10-24;;Oui;1253;Monts d'Arrée;35238;Rennes;48.136711, -1.667527;true;Abri simple;Grand public;4-1253
1257;2022-10-24;;Oui;1257;Morbihan;35238;Rennes;48.13267, -1.667599;true;Abri simple;Grand public;4-1257
1258;2022-10-24;;Oui;1258;Houx Cité U;35238;Rennes;48.130788, -1.663953;true;Abri simple;Grand public;4-1258
1261;2022-10-24;;Oui;1261;Volney;35238;Rennes;48.124112, -1.668138;true;Abri simple;Grand public;4-1261
1262;2022-10-24;;Oui;1262;Les Prairies;35238;Rennes;48.121471, -1.67097;true;Abri simple;Grand public;4-1262
1280;2023-08-01;;Oui;1280;Les Prairies;35238;Rennes;48.121404, -1.670825;true;Abri simple;Grand public;4-1280
1286;2022-10-24;;Oui;1286;Bellangerais;35238;Rennes;48.132719, -1.672293;true;Poteau;Grand public;4-1286
1294;2018-05-07;;Oui;1294;Marbeuf;35238;Rennes;48.111305, -1.701301;true;Abri simple;Grand public;4-1294
1298;2022-10-24;;Oui;1298;Bois Labbé;35238;Rennes;48.125698, -1.703017;true;Abri simple;Grand public;4-1298
1301;2022-10-24;2024-09-01;Oui;1301;Préfecture;35238;Rennes;48.128165, -1.69398;true;Abri double;Grand public;4-1301
1313;2024-02-12;2024-07-07;Oui;1313;Beaulieu - Université;35238;Rennes;48.12219, -1.638325;true;Poteau;Grand public;4-1313
1315;2022-10-24;2024-09-01;Oui;1315;République;35238;Rennes;48.109716, -1.678055;true;Abri simple;Grand public;4-1315
1320;2022-10-24;;Oui;1320;CARSAT;35238;Rennes;48.094927, -1.637296;true;Abri simple;Grand public;4-1320
1322;2016-08-29;;Oui;1322;Sauvaie;35238;Rennes;48.094297, -1.634589;true;Abri simple;Grand public;4-1322
1325;2023-09-04;;Oui;1325;Landry;35238;Rennes;48.099472, -1.646682;true;Abri simple;Grand public;4-1325
1339;2015-08-31;;Oui;1339;Langevin;35238;Rennes;48.094676, -1.658629;true;Abri simple;Grand public;4-1339
1340;2022-10-24;;Oui;1340;Gide;35238;Rennes;48.091996, -1.658498;true;Abri simple;Grand public;4-1340
1344;2023-09-04;;Oui;1344;Galicie;35238;Rennes;48.0877, -1.650088;true;Abri simple;Grand public;4-1344
1347;2016-08-29;;Oui;1347;Torigné;35238;Rennes;48.084769, -1.657925;true;Abri simple;Grand public;4-1347
1353;2016-08-29;;Oui;1353;Torigné;35238;Rennes;48.084535, -1.657962;true;Abri simple;Grand public;4-1353
1370;2022-10-24;;Oui;1370;Lenoir;35238;Rennes;48.121947, -1.683469;true;Abri auvent;Grand public;4-1370
1375;2023-11-22;;Oui;1375;Les Gayeulles;35238;Rennes;48.129955, -1.656511;true;Abri simple;Grand public;4-1375
1376;2024-02-12;2024-07-07;Oui;1376;Europe;35238;Rennes;48.128579, -1.657192;true;Abri simple;Grand public;4-1376
1384;2024-02-12;2024-07-07;Oui;1384;Champion de Cicé;35238;Rennes;48.102651, -1.703856;true;Abri simple;Grand public;4-1384
1397;2024-02-12;2024-07-07;Oui;1397;Dargent;35238;Rennes;48.103598, -1.700369;true;Abri simple;Grand public;4-1397
1399;2024-02-12;2024-07-07;Oui;1399;Malakoff;35238;Rennes;48.105015, -1.69546;true;;Grand public;4-1399
1402;2024-02-12;2024-07-07;Oui;1402;Cité Judiciaire;35238;Rennes;48.105647, -1.685188;true;Abri simple;Grand public;4-1402
1404;2022-10-24;;Oui;1404;Trégain;35238;Rennes;48.126712, -1.658487;true;Abri simple;Grand public;4-1404
1406;2023-11-22;2024-09-30;Oui;1406;Les Gayeulles;35238;Rennes;48.129684, -1.656432;true;Abri simple;Grand public;4-1406
1412;2022-10-24;;Oui;1412;Cours Kennedy;35238;Rennes;48.121362, -1.707767;true;Abri simple;Grand public;4-1412
1426;2022-10-24;;Oui;1426;Bellangerais;35238;Rennes;48.132124, -1.672635;true;Abri simple;Grand public;4-1426
1447;2023-08-01;;Oui;1447;Henri Fréville;35238;Rennes;48.08721, -1.675075;true;Abri simple;Grand public;4-1447
1450;2022-10-24;;Oui;1450;Coubertin;35238;Rennes;48.08669, -1.688453;true;Abri simple;Grand public;4-1450
1456;2016-08-29;;Oui;1456;Coubertin;35238;Rennes;48.086541, -1.687451;true;Abri simple;Grand public;4-1456
1457;2016-08-29;;Oui;1457;Norvège;35238;Rennes;48.086765, -1.683887;true;Abri simple;Grand public;4-1457
1471;2024-02-12;2024-07-07;Oui;1471;Cimetière de l'Est;35238;Rennes;48.103763, -1.649492;true;Abri simple;Grand public;4-1471
1483;2022-10-24;;Oui;1483;Pâtis Tatelin;35238;Rennes;48.12955, -1.64367;true;Abri simple;Grand public;4-1483
1491;2022-10-24;;Oui;1491;Saint-Laurent;35238;Rennes;48.13892, -1.658273;true;Abri simple;Grand public;4-1491
1499;2022-10-24;;Oui;1499;Colin;35238;Rennes;48.1163, -1.716029;true;Abri simple;Grand public;4-1499
1501;2022-10-24;;Oui;1501;République;35238;Rennes;48.109403, -1.679768;true;Abri double;Grand public;4-1501
1504;2015-07-02;;Oui;1504;Petit Champeaux;35238;Rennes;48.116353, -1.723158;true;Abri simple;Grand public;4-1504
1510;2022-10-24;;Oui;1510;Henri Fréville;35238;Rennes;48.087821, -1.674429;true;Abri double;Grand public;4-1510
1519;2022-10-24;2024-09-01;Oui;1519;Villejean-Université;35238;Rennes;48.12107, -1.702948;true;Abri simple;Grand public;4-1519
1546;2022-10-24;;Oui;1546;Cleunay Stade;35238;Rennes;48.101614, -1.708823;false;Poteau;Grand public;4-1546
1547;2023-09-04;;Oui;1547;Etangs d'Apigné;35238;Rennes;48.091983, -1.737811;true;Poteau;Grand public;4-1547
1552;2023-08-01;;Oui;1552;Place Pasteur;35238;Rennes;48.110624, -1.673506;true;Abri auvent;Grand public;4-1552
1564;2015-02-09;;Oui;1564;Henri Fréville;35238;Rennes;48.088154, -1.674415;true;Abri double;Grand public;4-1564
1587;2024-02-12;2024-07-07;Oui;1587;Cité Judiciaire;35238;Rennes;48.105429, -1.685223;true;Abri simple;Grand public;4-1587
1604;2022-10-24;;Oui;1604;Les Préales;35238;Rennes;48.113551, -1.640947;true;Abri simple;Grand public;4-1604
1605;2022-10-24;;Oui;1605;Pont de Strasbourg;35238;Rennes;48.110157, -1.656509;true;Abri double;Grand public;4-1605
1611;2024-02-12;2024-07-07;Oui;1611;Redon;35238;Rennes;48.105462, -1.688422;true;Abri simple;Grand public;4-1611
1615;2022-10-24;;Oui;1615;République;35238;Rennes;48.109803, -1.678283;true;Non matérialisé;Grand public;4-1615
1622;2022-10-24;;Oui;1622;Alma;35238;Rennes;48.084157, -1.679166;true;Abri double;Grand public;4-1622
1629;2023-09-04;;Oui;1629;Pré Garel;35238;Rennes;48.103996, -1.635248;true;Abri auvent;Grand public;4-1629
1636;2002-01-01;;Oui;1636;Haut Sancé;35238;Rennes;48.095933, -1.637156;true;Abri simple;Grand public;4-1636
1643;2002-01-01;;Oui;1643;Chambre Agriculture;35238;Rennes;48.114823, -1.715624;true;Abri auvent;Grand public;4-1643
1644;2022-10-24;;Oui;1644;Place Pasteur;35238;Rennes;48.110714, -1.673658;true;Abri auvent;Grand public;4-1644
1653;2022-10-24;;Oui;1653;Dulac;35238;Rennes;48.133287, -1.69535;true;Abri simple;Grand public;4-1653
