service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
265105005,1,1,1,1,1,0,0,20240527,20240607
264938503,0,0,0,0,0,1,0,20240601,20240622
267682006,1,1,1,1,1,0,0,20240605,20240605
264940603,0,0,0,0,0,0,1,20240602,20240623
270872007,1,1,1,1,1,0,0,20240610,20240621
267828504,0,0,0,0,0,1,0,20240608,20240608
262523000,1,1,1,1,1,0,0,20240527,20240621
262366500,0,0,0,0,0,1,0,20240601,20240622
262213600,0,0,0,0,0,0,1,20240602,20240623
270049603,0,0,0,0,0,0,1,20240616,20240616
262524000,1,1,1,1,1,0,0,20240527,20240621
262365500,0,0,0,0,0,1,0,20240601,20240622
262212600,0,0,0,0,0,0,1,20240602,20240623
270135604,0,0,0,0,0,0,1,20240616,20240616
264444501,0,0,0,0,0,1,0,20240608,20240608
262211600,0,0,0,0,0,0,1,20240602,20240616
264459002,1,1,1,1,1,0,0,20240527,20240610
262364500,0,0,0,0,0,1,0,20240601,20240615
262525000,1,1,1,1,1,0,0,20240528,20240619
264445001,1,1,1,1,1,0,0,20240607,20240607
264446601,0,0,0,0,0,0,1,20240609,20240609
270281003,1,1,1,1,1,0,0,20240620,20240620
269149602,0,0,0,0,0,0,1,20240602,20240623
262001000,1,1,1,1,1,0,0,20240527,20240531
269150504,0,0,0,0,0,1,0,20240601,20240615
269151003,1,1,1,1,1,0,0,20240603,20240621
269279603,0,0,0,0,0,0,1,20240616,20240616
269591505,0,0,0,0,0,1,0,20240622,20240622
269548004,1,1,1,1,1,0,0,20240617,20240617
268660008,1,1,1,1,1,0,0,20240605,20240605
264762003,1,1,1,1,1,0,0,20240528,20240620
264142002,1,1,1,1,1,0,0,20240527,20240610
261742500,0,0,0,0,0,1,0,20240601,20240615
268662503,0,0,0,0,0,1,0,20240608,20240608
261702600,0,0,0,0,0,0,1,20240602,20240616
267419007,1,1,1,1,1,0,0,20240607,20240621
264138601,0,0,0,0,0,0,1,20240609,20240623
264135501,0,0,0,0,0,1,0,20240622,20240622
267599009,1,1,1,1,1,0,0,20240527,20240531
