lon,lat,time
-2.90683,47.555943,2024-06-26T17:10:31+02:00
-2.906673,47.556185,2024-06-26T17:10:55+02:00
-2.906529,47.556391,2024-06-26T17:11:14+02:00
-2.906482,47.556621,2024-06-26T17:11:33+02:00
-2.906855,47.55667,2024-06-26T17:11:53+02:00
-2.906997,47.556898,2024-06-26T17:12:23+02:00
-2.906797,47.557103,2024-06-26T17:12:39+02:00
-2.906749,47.557383,2024-06-26T17:13:03+02:00
-2.90663,47.557622,2024-06-26T17:13:26+02:00
-2.906551,47.557873,2024-06-26T17:13:50+02:00
-2.906526,47.558122,2024-06-26T17:14:14+02:00
-2.906415,47.558339,2024-06-26T17:14:33+02:00
-2.906256,47.558562,2024-06-26T17:14:52+02:00
-2.906206,47.558785,2024-06-26T17:15:11+02:00
-2.905866,47.558861,2024-06-26T17:15:33+02:00
-2.905488,47.558899,2024-06-26T17:15:54+02:00
-2.905183,47.559047,2024-06-26T17:16:18+02:00
-2.905184,47.559303,2024-06-26T17:16:46+02:00
-2.905579,47.559406,2024-06-26T17:17:05+02:00
-2.905923,47.559538,2024-06-26T17:17:29+02:00
-2.906019,47.559802,2024-06-26T17:17:53+02:00
-2.906138,47.560045,2024-06-26T17:18:17+02:00
-2.906273,47.560262,2024-06-26T17:21:54+02:00
-2.90637,47.560495,2024-06-26T17:22:18+02:00
-2.906401,47.560736,2024-06-26T17:22:41+02:00
-2.906375,47.561027,2024-06-26T17:23:05+02:00
-2.906424,47.561255,2024-06-26T17:23:23+02:00
-2.906425,47.561554,2024-06-26T17:23:47+02:00
-2.9064,47.561819,2024-06-26T17:24:11+02:00
-2.906509,47.562081,2024-06-26T17:24:35+02:00
-2.906767,47.562252,2024-06-26T17:24:59+02:00
-2.906855,47.562491,2024-06-26T17:25:41+02:00
-2.906999,47.562744,2024-06-26T17:26:06+02:00
-2.907229,47.562914,2024-06-26T17:27:55+02:00
-2.9076,47.563017,2024-06-26T17:28:19+02:00
-2.907822,47.562832,2024-06-26T17:29:43+02:00
-2.907806,47.5626,2024-06-26T17:30:13+02:00
-2.907817,47.562361,2024-06-26T17:30:55+02:00
-2.907916,47.562103,2024-06-26T17:31:25+02:00
-2.908102,47.561858,2024-06-26T17:31:49+02:00
-2.908186,47.561581,2024-06-26T17:32:13+02:00
