service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
expl-0_JEUDI,0,0,0,1,0,0,0,20240704,20240704
expl-0_LUNDI,1,0,0,0,0,0,0,20240701,20240701
expl-0_MARDI,0,1,0,0,0,0,0,20240702,20240702
expl-0_MERCREDI,0,0,1,0,0,0,0,20240703,20240703
expl-0_SAMEDI,0,0,0,0,0,1,0,20240706,20240706
expl-0_VENDREDI,0,0,0,0,1,0,0,20240705,20240705
expl-12_DIMANCHE,0,0,0,0,0,0,1,20240630,20240630
expl-12_JEUDI,0,0,0,1,0,0,0,20240627,20240627
expl-12_LUNDI,1,0,0,0,0,0,0,20240624,20240624
expl-12_MARDI,0,1,0,0,0,0,0,20240625,20240625
expl-12_MERCREDI,0,0,1,0,0,0,0,20240626,20240626
expl-12_SAMEDI,0,0,0,0,0,1,0,20240629,20240629
expl-12_VENDREDI,0,0,0,0,1,0,0,20240628,20240628
gen-588430,0,0,0,0,0,0,1,20240623,20240707
gen-829513,1,1,1,1,1,1,1,20240620,20240707
gen-868650,0,0,0,0,0,1,0,20240622,20240706
gen-926087,0,0,0,1,0,0,0,20240620,20240704
prog-00000000014,0,0,0,1,0,0,0,20240620,20240620
prog-00000000015,0,0,0,1,0,0,0,20240620,20240620
prog-00000000018,0,0,0,1,0,0,0,20240704,20240704
prog-00000000019,0,0,0,1,0,0,0,20240704,20240704
prog-00000000022,1,0,0,0,0,0,0,20240701,20240701
prog-00000000023,1,0,0,0,0,0,0,20240701,20240701
prog-00000000026,0,1,0,0,0,0,0,20240702,20240702
prog-00000000027,0,1,0,0,0,0,0,20240702,20240702
prog-00000000030,0,0,1,0,0,0,0,20240703,20240703
prog-00000000031,0,0,1,0,0,0,0,20240703,20240703
prog-00000000032,0,0,0,0,1,0,0,20240621,20240621
prog-00000000033,0,0,0,0,1,0,0,20240621,20240621
prog-00000000036,0,0,0,0,1,0,0,20240705,20240705
prog-00000000037,0,0,0,0,1,0,0,20240705,20240705
prog-00000000048,0,0,0,0,1,0,0,20240621,20240621
prog-00000000049,0,0,0,0,1,0,0,20240621,20240621
prog-00000000057,0,0,0,0,0,0,1,20240707,20240707
prog-00000000058,0,0,0,0,0,1,0,20240706,20240706
prog-00000000059,0,0,0,0,0,0,1,20240623,20240707
prog-00000000060,0,0,0,1,0,0,0,20240620,20240704
prog-00000000061,1,0,0,0,0,0,0,20240624,20240701
prog-00000000062,0,1,0,0,0,0,0,20240625,20240702
prog-00000000063,0,0,1,0,0,0,0,20240626,20240703
prog-00000000064,0,0,0,0,0,1,0,20240622,20240706
prog-00000000065,0,0,0,0,1,0,0,20240621,20240705
prog-00000000068,0,0,0,0,0,0,1,20240623,20240707
prog-00000000069,0,0,0,0,0,0,1,20240623,20240630
prog-00000000070,1,1,0,1,1,0,0,20240620,20240705
prog-00000000071,0,0,0,0,1,0,0,20240621,20240705
prog-00000000072,0,0,1,0,0,0,0,20240626,20240703
prog-00000000073,0,0,1,0,0,0,0,20240626,20240703
prog-00000000074,0,0,0,0,0,1,0,20240622,20240629
prog-00000000075,0,0,0,0,0,1,0,20240622,20240706
prog-00000000076,0,0,0,1,0,0,0,20240620,20240704
prog-00000000077,0,0,0,1,0,0,0,20240620,20240627
prog-00000000078,0,0,0,1,0,0,0,20240620,20240627
prog-00000000079,0,0,0,1,0,0,0,20240704,20240704
prog-00000000080,0,0,0,1,0,0,0,20240704,20240704
prog-00000000081,1,0,0,0,0,0,0,20240701,20240701
prog-00000000082,1,0,0,0,0,0,0,20240701,20240701
prog-00000000083,0,1,0,0,0,0,0,20240702,20240702
prog-00000000084,0,1,0,0,0,0,0,20240702,20240702
prog-00000000085,0,0,1,0,0,0,0,20240703,20240703
prog-00000000086,0,0,1,0,0,0,0,20240703,20240703
prog-00000000087,0,0,0,0,1,0,0,20240705,20240705
prog-00000000088,0,0,0,0,1,0,0,20240705,20240705
prog-00000000089,1,0,0,0,0,0,0,20240624,20240701
prog-00000000090,1,0,0,0,0,0,0,20240624,20240624
prog-00000000091,1,0,0,0,0,0,0,20240624,20240624
prog-00000000092,0,1,0,0,0,0,0,20240625,20240702
prog-00000000093,0,1,0,0,0,0,0,20240625,20240625
prog-00000000094,0,1,0,0,0,0,0,20240625,20240625
prog-00000000095,0,0,1,0,0,0,0,20240626,20240703
prog-00000000096,0,0,1,0,0,0,0,20240626,20240626
prog-00000000097,0,0,1,0,0,0,0,20240626,20240626
prog-00000000099,0,0,0,0,1,0,0,20240621,20240705
prog-00000000100,0,0,0,0,1,0,0,20240621,20240628
prog-00000000101,0,0,0,0,1,0,0,20240621,20240628
