Identifiant;Code;Nom;Adresse (numéro);Adresse (voie);Commune (code INSEE);Commune (nom);Coordonnées;Station parente (ID);Station parente (nom);Accessible aux PMR;Stopid du quai gtfs/gtfs-rt;Stopid de la station gtfs/gtfs-rt
5065;5065;Saint-Jacques - Gaîté;1 B;rue Louis Braille;35281;Saint-Jacques-de-la-Lande;48.0922543436006, -1.70335007013448;15064;Saint-Jacques - Gaîté;true;4-5065;4-15064
5070;5070;Gares;15;place de la Gare;35238;Rennes;48.1042189200449, -1.67189613885799;15008;Gares;true;4-5070;4-15008
5073;5073;Jules Ferry;1;rue de la Croix Carrée;35238;Rennes;48.1186562170431, -1.67060937032544;15056;Jules Ferry;true;4-5073;4-15056
5055;5055;Gros-Chêne;24;rue de la Marbaudais;35238;Rennes;48.1250689151491, -1.66449165463879;15055;Gros-Chêne;true;4-5055;4-15055
5056;5056;Jules Ferry;1;rue de la Croix Carrée;35238;Rennes;48.1186628618151, -1.67091832948325;15056;Jules Ferry;true;4-5056;4-15056
5057;5057;Sainte-Anne;21;place Sainte-Anne;35238;Rennes;48.1146211666932, -1.6799268479821;15005;Sainte-Anne;true;4-5057;4-15005
5003;5003;Pontchaillou;51;rue Antoine Joly;35238;Rennes;48.1215347379187, -1.69334980647373;15003;Pontchaillou;true;4-5003;4-15003
5006;5006;République;10;rue du Pré Botté;35238;Rennes;48.1096669882225, -1.67922438477864;15006;République;true;4-5006;4-15006
5012;5012;Italie;2;rue de Suisse;35238;Rennes;48.0865238083084, -1.66764584791703;15012;Italie;true;4-5012;4-15012
5015;5015;La Poterie;211;rue de Vern;35238;Rennes;48.0874495908804, -1.6445134154635;15015;La Poterie;true;4-5015;4-15015
5017;5017;Villejean-Université;1;place Recteur Henri Le Moal;35238;Rennes;48.1212833355919, -1.70387937676334;15002;Villejean-Université;true;4-5017;4-15002
5022;5022;Charles de Gaulle;1;cours des Alliés;35238;Rennes;48.1055410477392, -1.67702286033675;15007;Charles de Gaulle;true;4-5022;4-15007
5024;5024;Jacques Cartier;104;rue de l'Alma;35238;Rennes;48.097604745102, -1.6754189906777;15009;Jacques Cartier;true;4-5024;4-15009
5028;5028;Triangle;61;avenue des Pays-Bas;35238;Rennes;48.0864774458175, -1.66065446891166;15013;Triangle;true;4-5028;4-15013
