2024-07-22 11:06:02.745024
Bus (ID);Bus (numéro);Etat;Ligne (ID);Ligne (nom court);Code du sens;Destination;Coordonnées;Avance / Retard
778817764;778817764;Hors-service;;;;;48.110794, -1.643229;
961224766;961224766;Hors-service;;;;;48.109915, -1.642667;
15578760;15578760;Hors-service;;;;;48.063915, -1.701471;
1690852774;1690852774;Hors-service;;;;;48.110476, -1.642838;
1508445772;1508445772;Hors-service;;;;;48.111354, -1.644113;
1292427774;1292427774;Hors-service;;;;;48.063753, -1.701228;
-1874486514;-1874486514;Hors-service;;;;;48.110077, -1.642668;
-349235244;-349235244;Hors-service;;;;;48.064713, -1.703156;
1839648780;1839648780;En ligne;0010;10;1;Beaulieu Chimie;48.10355, -1.711903;-12
380392764;380392764;Hors-service;;;;;48.064559, -1.70251;
197985762;197985762;Hors-service;;;;;48.064801, -1.702989;
-1908097510;-1908097510;En ligne;0013;13;0;Porte de Ker Lann;48.087576, -1.646126;110
562799766;562799766;Hors-service;;;;;48.063837, -1.701397;
1657241778;1657241778;Hors-service;;;;;48.109676, -1.642996;
-1178469502;-1178469502;Hors-service;;;;;48.110641, -1.643229;
745206768;745206768;Hors-service;;;;;48.064314, -1.702986;
-2090504512;-2090504512;Hors-service;;;;;48.109674, -1.642834;
-996062500;-996062500;En ligne;0011;11;0;Roazhon Park;48.105653, -1.672924;70
927613770;927613770;Hors-service;;;;;48.064957, -1.702909;
-1360876504;-1360876504;Hors-service;;;;;48.109835, -1.643077;
-813655498;-813655498;Hors-service;;;;;48.109755, -1.642357;
1110020772;1110020772;Hors-service;;;;;48.064392, -1.703073;
-448841494;-448841494;En ligne;0011;11;1;La Poterie;48.10616, -1.729323;135
-631248496;-631248496;En ligne;0013;13;1;Chantepie;48.089495, -1.705833;-93
1474834776;1474834776;Hors-service;;;;;48.109676, -1.642996;
-266434492;-266434492;En ligne;0011;11;0;ZI Ouest;48.104109, -1.728547;60
98379512;98379512;Hors-service;;;;;48.110312, -1.642191;
2022055782;2022055782;En ligne;0012;12;0;La Poterie;48.121274, -1.705554;0
280786514;280786514;En ligne;0032;32;0;Alma Sud;48.128385, -1.672526;193
463193516;463193516;En ligne;0050;50;1;Thorigné;48.132556, -1.619316;38
-1725690508;-1725690508;En ligne;0010;10;0;Porte de Cleunay;48.11627, -1.665693;153
1375228526;1375228526;En ligne;0010;10;0;Porte de Cleunay;48.117114, -1.634025;0
645600518;645600518;En ligne;0014;14;0;Roazhon Park;48.134053, -1.694116;85
-1543283506;-1543283506;Hors-service;;;;;48.109674, -1.642592;
1740042530;1740042530;Hors-service;;;;;48.109919, -1.643233;
1557635528;1557635528;Hors-service;;;;;48.109754, -1.641711;
-84027490;-84027490;Hors-service;;;;;48.111201, -1.644113;
-2007703760;-2007703760;Hors-service;;;;;48.111279, -1.643958;
-1460482754;-1460482754;En ligne;0050;50;0;Cesson-Viasilva;48.155355, -1.573235;42
828007520;828007520;Hors-service;;;;;48.109757, -1.641873;
-1825296758;-1825296758;En ligne;0011;11;1;La Poterie;48.104717, -1.665601;-2
-913261748;-913261748;Hors-service;;;;;48.109915, -1.642667;
1010414522;1010414522;Hors-service;;;;;48.109757, -1.641873;
-1642889756;-1642889756;Hors-service;;;;;48.11024, -1.641955;
-117638486;-117638486;Hors-service;;;;;48.110157, -1.641315;
1192821524;1192821524;Hors-service;;;;;48.110478, -1.641626;
-1095668750;-1095668750;Hors-service;;;;;48.10992, -1.642748;
1888838536;1888838536;En ligne;0006;C6;0;Aéroport;48.098725, -1.694126;168
1922449532;1922449532;En ligne;0011;11;0;ZI Ouest;48.102955, -1.622071;-56
-730854746;-730854746;En ligne;0064;64;1;Acigné;48.128243, -1.608612;203
-1494093750;-1494093750;Hors-service;;;;;48.110473, -1.642676;
2104856534;2104856534;Hors-service;;;;;48.110959, -1.644751;
-1029673496;-1029673496;Hors-service;;;;;48.07984, -1.734838;
-1311686748;-1311686748;Hors-service;;;;;48.115596, -1.578111;
-1278075752;-1278075752;En ligne;0034;34;1;ZA Saint-Sulpice;48.129769, -1.630383;183
-847266494;-847266494;Hors-service;;;;;48.11, -1.641867;
-946872744;-946872744;Hors-service;;;;;48.115753, -1.577788;
2071245538;2071245538;En ligne;0006;C6;0;Aéroport;48.113435, -1.590347;0
-664859492;-664859492;Hors-service;;;;;48.11024, -1.640596;
329976270;329976270;Hors-service;;;;;48.108957, -1.642031;
-2041314756;-2041314756;En ligne;0006;C6;0;Aéroport;48.110115, -1.67021;-19
-482452490;-482452490;Hors-service;;;;;48.081915, -1.633791;
512383272;512383272;Hors-service;;;;;48.108955, -1.641385;
-1858907754;-1858907754;Hors-service;;;;;48.11088, -1.643546;
64768516;64768516;Hors-service;;;;;48.110233, -1.640986;
1059604278;1059604278;Hors-service;;;;;48.108955, -1.641627;
-1129279746;-1129279746;Hors-service;;;;;48.115034, -1.578197;
247175518;247175518;Hors-service;;;;;48.110234, -1.640515;
1424418282;1424418282;Hors-service;;;;;48.115834, -1.577553;
-582058740;-582058740;Hors-service;;;;;48.1104, -1.644756;
-1676500752;-1676500752;En ligne;0006;C6;1;Cesson-Sévigné;48.098953, -1.693392;37
1225205782;1225205782;Hors-service;;;;;48.110553, -1.641552;
-399651738;-399651738;Hors-service;;;;;48.114236, -1.580187;
-764465742;-764465742;En ligne;0006;C6;1;Cesson-Sévigné;48.075957, -1.715927;-24
-1345297744;-1345297744;En ligne;0012;12;1;Villejean-U;48.135618, -1.69307;-55
-217244736;-217244736;Hors-service;;;;;48.108876, -1.642037;
-34837734;-34837734;Hors-service;;;;;48.108952, -1.641465;
-615669736;-615669736;Hors-service;;;;;48.115675, -1.578185;
1242011280;1242011280;Hors-service;;;;;48.108957, -1.642031;
147569268;147569268;Hors-service;;;;;48.115596, -1.578111;
478772276;478772276;Hors-service;;;;;48.109596, -1.642747;
1971639288;1971639288;Hors-service;;;;;48.108958, -1.641789;
-51643232;-51643232;Hors-service;;;;;48.109673, -1.643077;
661179278;661179278;Hors-service;;;;;48.110879, -1.644031;
-1958514004;-1958514004;Hors-service;;;;;48.109035, -1.641876;
677984776;677984776;Hors-service;;;;;48.079999, -1.73539;
843586280;843586280;En ligne;0012;12;1;Villejean-U;48.118011, -1.675216;71
-1776107002;-1776107002;Hors-service;;;;;48.115512, -1.578426;
-1162890742;-1162890742;Hors-service;;;;;48.115118, -1.578352;
-1627310996;-1627310996;Hors-service;;;;;48.114395, -1.579797;
1042798780;1042798780;Hors-service;;;;;48.110077, -1.642426;
-980483740;-980483740;En ligne;0012;12;0;La Poterie;48.116187, -1.674153;56
1009187784;1009187784;Hors-service;;;;;48.110153, -1.640508;
1590019786;1590019786;En ligne;0056;56;0;Chavagne;48.105755, -1.677388;0
1573214288;1573214288;En ligne;0012;12;0;La Poterie;48.095022, -1.661623;48
-1860134492;-1860134492;Hors-service;;;;;48.111113, -1.644038;
-798076738;-798076738;Hors-service;;;;;48.115913, -1.577627;
1755621290;1755621290;En ligne;0012;12;0;La Poterie;48.135605, -1.692934;-23
-1677727490;-1677727490;Hors-service;;;;;48.109835, -1.641476;
1025993282;1025993282;En ligne;0012;12;1;Villejean-U;48.087352, -1.642676;0
2120435294;2120435294;Hors-service;;;;;48.109201, -1.642026;
-1495320488;-1495320488;En ligne;0032;32;1;Saint-Grégoire;48.128177, -1.682512;226
1938028292;1938028292;Inconnu;0012;12;0;La Poterie;48.098875, -1.675635;
-1992125000;-1992125000;Hors-service;;;;;48.109194, -1.641958;
-948099482;-948099482;Hors-service;;;;;48.111033, -1.643788;
-1444903994;-1444903994;Hors-service;;;;;48.109192, -1.641796;
1191594786;1191594786;Hors-service;;;;;48.110236, -1.640676;
146342530;146342530;Hors-service;;;;;48.063675, -1.701154;
1374001788;1374001788;Hors-service;;;;;48.110878, -1.644515;
1921222794;1921222794;Hors-service;;;;;48.111201, -1.644113;
328749532;328749532;Hors-service;;;;;48.063678, -1.701073;
1556408790;1556408790;Hors-service;;;;;48.110319, -1.641545;
2070018800;2070018800;En ligne;0013;13;0;Porte de Ker Lann;48.080253, -1.715583;276
-616896474;-616896474;En ligne;0002;C2;0;Haut Sancé;48.087719, -1.639546;113
2103629796;2103629796;Hors-service;;;;;48.110474, -1.642191;
-1312913486;-1312913486;En ligne;0032;32;1;Saint-Grégoire;48.084903, -1.682202;7
-69675468;-69675468;En ligne;0001;C1;1;Cesson-Viasilva;48.105278, -1.665341;-129
-2008930498;-2008930498;Hors-service;;;;;48.110873, -1.644192;
-583285478;-583285478;En ligne;0014;14;0;Roazhon Park;48.1182, -1.634618;6
842359542;842359542;Hors-service;;;;;48.11064, -1.641869;
-2042541494;-2042541494;En ligne;0064;64;0;Cesson-Viasilva;48.139317, -1.560049;110
-218471474;-218471474;Hors-service;;;;;48.109915, -1.641065;
1571987550;1571987550;En ligne;0002;C2;1;Saint-Grégoire;48.103092, -1.661797;95
-1130506484;-1130506484;En ligne;0006;C6;1;Cesson-Sévigné;48.110078, -1.663181;110
-36064472;-36064472;Hors-service;;;;;48.063675, -1.701154;
1936801554;1936801554;Hors-service;;;;;48.110714, -1.64411;
-765692480;-765692480;Hors-service;;;;;48.109836, -1.641233;
477545538;477545538;Hors-service;;;;;48.110476, -1.644426;
-1628537734;-1628537734;En ligne;0005;C5;1;Saint-Laurent;48.084313, -1.692025;0
-400878476;-400878476;Hors-service;;;;;48.109833, -1.641072;
1024766544;1024766544;En ligne;0007;C7;0;Bruz;48.024591, -1.75708;175
-1081316728;-1081316728;Hors-service;;;;;48.110555, -1.643558;
-799303476;-799303476;En ligne;0006;C6;1;Cesson-Sévigné;48.123521, -1.602115;-13
1207173546;1207173546;En ligne;0005;C5;0;Lycée Bréquigny;48.138716, -1.659071;0
-351688720;-351688720;En ligne;0007;C7;1;St-Jacques-Gaîté;48.029579, -1.758577;-29
-252082470;-252082470;Hors-service;;;;;48.110479, -1.644588;
1754394552;1754394552;Hors-service;;;;;48.111197, -1.644193;
-169281718;-169281718;En ligne;0002;C2;0;Haut Sancé;48.108272, -1.677786;106
112731534;112731534;En ligne;0001;C1;1;Cesson-Viasilva;48.109884, -1.674201;162
-1993351738;-1993351738;Hors-service;;;;;48.110552, -1.643867;
560346290;560346290;En ligne;0002;C2;0;Haut Sancé;48.156115, -1.671304;41
659952540;659952540;En ligne;0003;C3;0;Henri Fréville;48.124032, -1.668183;107
-1446130732;-1446130732;Hors-service;;;;;48.110636, -1.643794;
1107567296;1107567296;En ligne;0013;13;1;Chantepie;48.087574, -1.653499;338
1389580548;1389580548;Hors-service;;;;;48.110319, -1.641787;
195532286;195532286;Hors-service;;;;;48.110474, -1.643793;
1472381300;1472381300;En ligne;0004;C4;1;ZA Saint-Sulpice;48.109862, -1.670672;181
2119208556;2119208556;Hors-service;;;;;48.11112, -1.643634;
377939288;377939288;En ligne;0004;C4;0;Grand Quartier;48.12828, -1.693306;205
-998515976;-998515976;Hors-service;;;;;48.110073, -1.642991;
-1810944736;-1810944736;Hors-service;;;;;48.110555, -1.643787;
742753292;742753292;En ligne;0005;C5;1;Saint-Laurent;48.105738, -1.681438;-86
79120538;79120538;Hors-service;;;;;48.110236, -1.642507;
-898909726;-898909726;En ligne;0005;C5;0;Lycée Bréquigny;48.131215, -1.652027;118
925160294;925160294;Hors-service;;;;;48.110319, -1.643389;
443934542;443934542;Hors-service;;;;;48.064, -1.701156;
-716502724;-716502724;En ligne;0001;C1;0;Chantepie;48.09203, -1.628488;303
1289974298;1289974298;Hors-service;;;;;48.110313, -1.643308;
1355969552;1355969552;Hors-service;;;;;48.064715, -1.70243;
13125284;13125284;Hors-service;;;;;48.109995, -1.643145;
2019602306;2019602306;En ligne;0001;C1;0;Chantepie;48.118283, -1.670852;-9
1720783556;1720783556;Hors-service;;;;;48.064794, -1.70315;
1654788302;1654788302;Hors-service;;;;;48.111195, -1.644031;
-2092957988;-2092957988;Hors-service;;;;;48.110078, -1.643314;
-1662148730;-1662148730;Hors-service;;;;;48.11064, -1.641869;
1837195304;1837195304;En ligne;0003;C3;0;Henri Fréville;48.105589, -1.67771;228
-1910550986;-1910550986;En ligne;0004;C4;1;ZA Saint-Sulpice;48.109793, -1.69869;116
-1114927724;-1114927724;En ligne;0014;14;1;Beaulieu Chimie;48.108369, -1.712225;4
-1728143984;-1728143984;En ligne;0002;C2;1;Saint-Grégoire;48.096499, -1.637007;40
-1545736982;-1545736982;Hors-service;;;;;48.110076, -1.643152;
161921290;161921290;Hors-service;;;;;48.11, -1.641638;
-1363329980;-1363329980;Hors-service;;;;;48.110241, -1.643315;
