Timestamp;Bus (ID);Bus (numéro);Etat;Ligne (ID);Ligne (nom court);Code du sens;Destination;Coordonnées;Avance / Retard
2024-07-22 11:06:02.745024;778817764;778817764;Hors-service;;;;;48.110794, -1.643229;
2024-07-22 11:06:02.745024;961224766;961224766;Hors-service;;;;;48.109915, -1.642667;
2024-07-22 11:06:02.745024;15578760;15578760;Hors-service;;;;;48.063915, -1.701471;
2024-07-22 11:06:02.745024;1690852774;1690852774;Hors-service;;;;;48.110476, -1.642838;
2024-07-22 11:06:02.745024;1508445772;1508445772;Hors-service;;;;;48.111354, -1.644113;
2024-07-22 11:06:02.745024;1292427774;1292427774;Hors-service;;;;;48.063753, -1.701228;
2024-07-22 11:06:02.745024;-1874486514;-1874486514;Hors-service;;;;;48.110077, -1.642668;
2024-07-22 11:06:02.745024;-349235244;-349235244;Hors-service;;;;;48.064713, -1.703156;
2024-07-22 11:06:02.745024;1839648780;1839648780;En ligne;0010;10;1;Beaulieu Chimie;48.10355, -1.711903;-12
2024-07-22 11:06:02.745024;380392764;380392764;Hors-service;;;;;48.064559, -1.70251;
2024-07-22 11:06:02.745024;197985762;197985762;Hors-service;;;;;48.064801, -1.702989;
2024-07-22 11:06:02.745024;-1908097510;-1908097510;En ligne;0013;13;0;Porte de Ker Lann;48.087576, -1.646126;110
2024-07-22 11:06:02.745024;562799766;562799766;Hors-service;;;;;48.063837, -1.701397;
2024-07-22 11:06:02.745024;1657241778;1657241778;Hors-service;;;;;48.109676, -1.642996;
2024-07-22 11:06:02.745024;-1178469502;-1178469502;Hors-service;;;;;48.110641, -1.643229;
2024-07-22 11:06:02.745024;745206768;745206768;Hors-service;;;;;48.064314, -1.702986;
2024-07-22 11:06:02.745024;-2090504512;-2090504512;Hors-service;;;;;48.109674, -1.642834;
2024-07-22 11:06:02.745024;-996062500;-996062500;En ligne;0011;11;0;Roazhon Park;48.105653, -1.672924;70
2024-07-22 11:06:02.745024;927613770;927613770;Hors-service;;;;;48.064957, -1.702909;
2024-07-22 11:06:02.745024;-1360876504;-1360876504;Hors-service;;;;;48.109835, -1.643077;
2024-07-22 11:06:02.745024;-813655498;-813655498;Hors-service;;;;;48.109755, -1.642357;
2024-07-22 11:06:02.745024;1110020772;1110020772;Hors-service;;;;;48.064392, -1.703073;
2024-07-22 11:06:02.745024;-448841494;-448841494;En ligne;0011;11;1;La Poterie;48.10616, -1.729323;135
2024-07-22 11:06:02.745024;-631248496;-631248496;En ligne;0013;13;1;Chantepie;48.089495, -1.705833;-93
2024-07-22 11:06:02.745024;1474834776;1474834776;Hors-service;;;;;48.109676, -1.642996;
2024-07-22 11:06:02.745024;-266434492;-266434492;En ligne;0011;11;0;ZI Ouest;48.104109, -1.728547;60
2024-07-22 11:06:02.745024;98379512;98379512;Hors-service;;;;;48.110312, -1.642191;
2024-07-22 11:06:02.745024;2022055782;2022055782;En ligne;0012;12;0;La Poterie;48.121274, -1.705554;0
2024-07-22 11:06:02.745024;280786514;280786514;En ligne;0032;32;0;Alma Sud;48.128385, -1.672526;193
2024-07-22 11:06:02.745024;463193516;463193516;En ligne;0050;50;1;Thorigné;48.132556, -1.619316;38
